age	workclass	education	marital-status	occupation	relationship	race	sex	capital-net	hours-per-week	native-country	Class
mature	 Private	lower	Married-separated	 Exec-managerial	 Unmarried	 White	 Female	low	low	developed	 <=50K
medium	 Federal-gov	lower	 Never-married	 Other-service	 Own-child	 Black	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	high	high	developed	 >50K
mature	 Self-emp-not-inc	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Tech-support	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Self-emp-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	high	low	developed	 >50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Female	high	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Handlers-cleaners	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Local-gov	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Handlers-cleaners	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	higher	 Never-married	 Sales	 Other-relative	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Self-emp-not-inc	lower	Married	 Other-service	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	Married	 Sales	 Wife	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Machine-op-inspct	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Handlers-cleaners	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-inc	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Local-gov	lower	Married	 Craft-repair	 Husband	 Black	 Male	low	low	developed	 >50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	higher	 Never-married	 Exec-managerial	 Own-child	 Black	 Male	low	low	developed	 <=50K
medium	 State-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 Black	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Wife	 White	 Female	low	low	developed	 >50K
young	 Private	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	low	developed	 >50K
mature	 ?	lower	Married	 ?	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Sales	 Not-in-family	 White	 Female	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Tech-support	 Not-in-family	 Black	 Female	low	low	developed	 <=50K
mature	 Federal-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developing	 >50K
mature	 Self-emp-not-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	Married	 Adm-clerical	 Wife	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 Asian-Pac-Islander	 Male	low	low	developed	 >50K
mature	 Self-emp-inc	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 >50K
mature	 Private	lower	 Never-married	 Tech-support	 Other-relative	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Transport-moving	 Unmarried	 Black	 Female	low	low	developed	 <=50K
young	 Private	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Other-service	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developing	 <=50K
mature	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Exec-managerial	 Other-relative	 Asian-Pac-Islander	 Female	low	low	developing	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Not-in-family	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	high	developed	 <=50K
young	 Private	higher	 Never-married	 Handlers-cleaners	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married-separated	 Sales	 Unmarried	 Black	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Private	higher	Married-separated	 Other-service	 Other-relative	 Black	 Male	low	high	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Other-service	 Unmarried	 White	 Female	low	low	developed	 <=50K
mature	 Self-emp-inc	higher	Married-separated	 Exec-managerial	 Unmarried	 Asian-Pac-Islander	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Exec-managerial	 Not-in-family	 Asian-Pac-Islander	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Sales	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Other-service	 Unmarried	 White	 Female	low	low	developing	 <=50K
mature	 Federal-gov	lower	 Never-married	 Exec-managerial	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 State-gov	higher	Married-separated	 Protective-serv	 Unmarried	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Handlers-cleaners	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Local-gov	lower	Married-separated	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Other-service	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 State-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	higher	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	high	developed	 <=50K
medium	 State-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	lower	Married-separated	 Sales	 Unmarried	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Craft-repair	 Own-child	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Handlers-cleaners	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Local-gov	lower	Married	 Exec-managerial	 Husband	 Black	 Male	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 Black	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developing	 >50K
mature	 Federal-gov	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married-separated	 Exec-managerial	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 ?	higher	Married-separated	 ?	 Not-in-family	 White	 Female	low	high	developed	 <=50K
medium	 Private	higher	Married	 Prof-specialty	 Wife	 White	 Female	low	high	developed	 <=50K
mature	 State-gov	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	Married-separated	 Machine-op-inspct	 Not-in-family	 Black	 Female	low	low	developed	 <=50K
young	 Private	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Local-gov	higher	Married	 Craft-repair	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Tech-support	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Federal-gov	higher	Married	 Tech-support	 Husband	 White	 Male	low	low	developed	 <=50K
young	 Private	lower	Married	 Transport-moving	 Other-relative	 White	 Male	low	low	developing	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Federal-gov	higher	 Never-married	 Exec-managerial	 Not-in-family	 White	 Female	high	high	developed	 >50K
mature	 Private	higher	Married	 Prof-specialty	 Other-relative	 White	 Male	high	low	developed	 >50K
young	 Self-emp-not-inc	lower	 Never-married	 Sales	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Local-gov	lower	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 State-gov	lower	Married-separated	 Adm-clerical	 Unmarried	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Other-service	 Husband	 Black	 Male	high	low	developed	 >50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	high	developed	 <=50K
mature	 Self-emp-inc	lower	Married	 Sales	 Wife	 White	 Female	high	low	developed	 >50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	Married	 Transport-moving	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	lower	 Never-married	 Sales	 Not-in-family	 Amer-Indian-Eskimo	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 Asian-Pac-Islander	 Male	low	low	developed	 <=50K
mature	 Self-emp-inc	lower	Married	 Machine-op-inspct	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Private	higher	 Never-married	 Exec-managerial	 Not-in-family	 Black	 Male	low	high	developed	 >50K
mature	 Private	lower	Married-separated	 Sales	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Sales	 Husband	 White	 Male	low	high	developing	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	 Never-married	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married	 Handlers-cleaners	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Other-service	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Local-gov	lower	 Never-married	 Machine-op-inspct	 Not-in-family	 White	 Female	low	low	developed	 <=50K
young	 Private	lower	 Never-married	 Sales	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 ?	lower	Married-separated	 ?	 Not-in-family	 Amer-Indian-Eskimo	 Female	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Farming-fishing	 Husband	 White	 Male	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developing	 <=50K
mature	 Private	lower	Married-separated	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Transport-moving	 Not-in-family	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Sales	 Unmarried	 Black	 Female	low	low	developed	 <=50K
medium	 Private	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Male	low	high	developed	 <=50K
medium	 Private	lower	Married-separated	 Craft-repair	 Other-relative	 Other	 Female	low	low	developed	 <=50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Male	low	high	developed	 >50K
mature	 State-gov	lower	Married	 Other-service	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 State-gov	lower	 Never-married	 Adm-clerical	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developing	 >50K
mature	 Local-gov	higher	Married	 Exec-managerial	 Husband	 White	 Male	low	high	developed	 >50K
young	 Private	lower	 Never-married	 Transport-moving	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Husband	 White	 Male	low	low	developed	 >50K
mature	 Self-emp-not-inc	lower	Married	 Other-service	 Wife	 White	 Female	low	low	developed	 <=50K
young	 State-gov	lower	Married	 Protective-serv	 Husband	 White	 Male	low	high	developed	 <=50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	low	 ?	 <=50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	high	developed	 >50K
medium	 Private	lower	 Never-married	 Other-service	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Tech-support	 Husband	 White	 Male	low	high	developed	 >50K
mature	 Private	lower	Married	 Adm-clerical	 Husband	 White	 Male	low	low	 ?	 <=50K
mature	 Private	higher	Married	 Prof-specialty	 Wife	 White	 Female	low	low	developed	 >50K
mature	 Private	higher	Married	 Adm-clerical	 Wife	 Black	 Female	low	low	developed	 <=50K
mature	 Local-gov	lower	Married-separated	 Other-service	 Unmarried	 Black	 Female	low	low	developed	 <=50K
young	 Local-gov	lower	 Never-married	 Adm-clerical	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	 Never-married	 Transport-moving	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	lower	Married	 Farming-fishing	 Husband	 Asian-Pac-Islander	 Male	low	low	developing	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Female	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Other-service	 Not-in-family	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married-separated	 Exec-managerial	 Not-in-family	 White	 Female	low	high	developed	 <=50K
mature	 Private	lower	Married-separated	 Craft-repair	 Not-in-family	 White	 Male	low	low	developed	 <=50K
mature	 Private	higher	Married-separated	 Prof-specialty	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	high	developed	 <=50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Sales	 Husband	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-inc	lower	Married	 Exec-managerial	 Husband	 Asian-Pac-Islander	 Male	low	high	developing	 >50K
young	 ?	lower	 Never-married	 ?	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
medium	 Private	higher	 Never-married	 Prof-specialty	 Not-in-family	 White	 Female	low	high	developed	 <=50K
medium	 Private	lower	Married	 Craft-repair	 Wife	 White	 Female	low	low	developed	 >50K
mature	 Private	lower	Married	 Exec-managerial	 Husband	 White	 Male	low	low	developed	 >50K
young	 Private	lower	 Never-married	 Other-service	 Own-child	 White	 Male	low	low	developed	 <=50K
mature	 Self-emp-not-inc	higher	Married	 Farming-fishing	 Husband	 White	 Male	low	high	developed	 <=50K
medium	 Local-gov	higher	 Never-married	 Prof-specialty	 Own-child	 White	 Male	low	low	developed	 <=50K
medium	 Private	lower	Married-separated	 Prof-specialty	 Own-child	 White	 Female	low	low	developed	 <=50K
mature	 Private	lower	Married	 Handlers-cleaners	 Husband	 Black	 Male	low	low	developed	 <=50K
mature	 Private	lower	Married	 Craft-repair	 Husband	 White	 Male	high	low	developed	 >50K
